transmission_type,id_transmissao,body_type,id_body_type,modelo,id_modelos,marca,categoria_marca,id_categoria_marca,mileage,ano,city,id_city,insurance,id_insurance,seats,engine_capacity,fuel_type,id_fuel_type,kms_driven,max_power,owner_type,id_owner_type,resale_price_Lakh
Automatic,0.5851602224980227,SUV,0.6002632621852876,Q7 3.0 TDI quattro,0.5993676774303471,Audi,média-alta,1.64771746835462,12.7,2011.0,Bangalore,0.8686148605655614,Third Party,0.2561672213768721,7.0,2967.0,Diesel,0.5145358569867878,120000.0,241.4,First Owner,0.1513159043723507,20.0
Manual,0.13063448358318142,SUV,0.6002632621852876,Ecosport 1.5 TDCi Titanium Plus BSIV,0.29955356632334845,Ford,baixa,0.2695348073865004,16.0,2017.0,Hyderabad,1.027129429868669,Third Party,0.2561672213768721,5.0,1498.0,Diesel,0.5145358569867878,110000.0,98.5,First Owner,0.1513159043723507,7.5
Manual,0.13063448358318142,Sedan,0.5776796017468651,Amaze VX Petrol,0.29955356632334845,Honda,baixa,0.2695348073865004,23.01,2016.0,Chennai,1.130591051963374,Comprehensive,0.44691375314468196,5.0,1199.0,Petrol,0.1808108436013733,53772.0,88.7,Second Owner,0.6196441032904012,5.5
Manual,0.13063448358318142,Sedan,0.5776796017468651,Laura 1.9 TDI MT Ambiente,1.4137533286638495,Skoda,média-baixa,0.9847733374715463,17.0,2009.0,Pune,1.0951613137788256,Comprehensive,0.44691375314468196,5.0,1896.0,Diesel,0.5145358569867878,95000.0,103.56,First Owner,0.1513159043723507,2.65
Automatic,0.5851602224980227,Hatchback,0.36313833386560074,Micra XV CVT,0.29955356632334845,Nissan,baixa,0.2695348073865004,26.6,2017.0,Bangalore,0.8686148605655614,Comprehensive,0.44691375314468196,5.0,1198.0,Petrol,0.1808108436013733,46468.0,75.9,Third Owner,1.3553447922231374,4.49
Manual,0.13063448358318142,Sedan,0.5776796017468651,Vento 1.0 TSI Highline,0.6877978260236047,Volkswagen,baixa,0.2695348073865004,19.0,2022.0,Jaipur,1.2805577942736048,Comprehensive,0.44691375314468196,5.0,999.0,Petrol,0.1808108436013733,20972.0,108.6,First Owner,0.1513159043723507,10.5
Automatic,0.5851602224980227,Sedan,0.5776796017468651,Swift Dzire AMT VXI,0.29955356632334845,Maruti,muito baixa,0.5146410003069729,10.1,2019.0,Jaipur,1.2805577942736048,Third Party,0.2561672213768721,5.0,1197.0,Petrol,0.1808108436013733,52858.0,81.8,Second Owner,0.6196441032904012,6.03
Manual,0.13063448358318142,Sedan,0.5776796017468651,Verna 1.4 VTVT,0.29955356632334845,Hyundai,baixa,0.2695348073865004,26.3,2016.0,Chennai,1.130591051963374,Comprehensive,0.44691375314468196,5.0,1396.0,Petrol,0.1808108436013733,60061.0,105.5,First Owner,0.1513159043723507,6.1
Manual,0.13063448358318142,SUV,0.6002632621852876,Bolero Neo N10 BSVI,0.6877978260236047,Mahindra,baixa,0.2695348073865004,18.6,2021.0,Bangalore,0.8686148605655614,Not Available,1.4145877083285747,7.0,1493.0,Diesel,0.5145358569867878,31108.0,100.0,Second Owner,0.6196441032904012,9.0
Automatic,0.5851602224980227,SUV,0.6002632621852876,Rover Range Rover Evoque 2.2L Pure,0.5993676774303471,Land,muito alta,2.3045162492625475,20.92,2013.0,Chennai,1.130591051963374,Comprehensive,0.44691375314468196,5.0,2179.0,Diesel,0.5145358569867878,105000.0,187.7,Second Owner,0.6196441032904012,20.0
