marca,id_marcas,engine_capacity,id_insurance,insurance,id_transmissao,transmission_type,ano,kms_driven,owner_type,id_owner_type,fuel_type,id_fuel_type,max_power,seats,mileage,id_body_type,body_type,id_city,city,resale_price_Lakh
Toyota,1.3828395027895357,2393.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2017.0,98000.0,First Owner,0.15046506698925197,Diesel,0.5149186383392457,147.8,7.0,13.68,1.347596982231442,MUV,1.13052790997428,Chennai,18.5
Hyundai,0.6776651860522321,1197.0,0.2566333215136202,Third Party,0.5831023826138171,Automatic,2013.0,125004.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,78.9,5.0,16.95,0.36411207029700055,Hatchback,0.8683204154856445,Bangalore,3.17
Toyota,1.3828395027895357,2755.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2018.0,43000.0,First Owner,0.15046506698925197,Diesel,0.5149186383392457,174.5,7.0,14.24,0.5988691236058242,SUV,0.7676996810762409,Delhi,27.75
Hyundai,0.6776651860522321,1197.0,1.30640076596682,Zero Dep,0.5831023826138171,Automatic,2020.0,25799.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,81.8,5.0,20.1,0.5780531058996504,Sedan,1.4985046952688743,Lucknow,7.82
Hyundai,0.6776651860522321,1493.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2022.0,22000.0,First Owner,0.15046506698925197,Diesel,0.5149186383392457,113.4,5.0,0.0,0.5988691236058242,SUV,0.9227099304234485,Mumbai,18.45
Maruti,0.5414395158001966,1248.0,1.4186443333957626,Not Available,0.1313588447382279,Manual,2013.0,72480.0,First Owner,0.15046506698925197,Diesel,0.5149186383392457,74.0,5.0,22.9,0.36411207029700055,Hatchback,1.281577182241788,Jaipur,4.0
Maruti,0.5414395158001966,1197.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2020.0,73000.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,81.8,5.0,21.21,0.36411207029700055,Hatchback,1.1117169408591543,Ahmedabad,6.5
Hyundai,0.6776651860522321,1197.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2021.0,27064.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,81.8,5.0,17.52,0.5988691236058242,SUV,0.9227099304234485,Mumbai,8.5
Toyota,1.3828395027895357,2494.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2014.0,230000.0,First Owner,0.15046506698925197,Diesel,0.5149186383392457,100.0,7.0,12.99,1.347596982231442,MUV,0.7676996810762409,Delhi,7.15
Volkswagen,1.488427805103007,1198.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2013.0,68000.0,Second Owner,0.6203282546085825,Petrol,0.18033354506727076,74.0,5.0,16.47,0.36411207029700055,Hatchback,1.0961020230412228,Pune,3.75
MG,1.9460707064268206,1349.0,0.2566333215136202,Third Party,0.5831023826138171,Automatic,2022.0,32831.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,138.0,5.0,14.34,0.5988691236058242,SUV,1.1117169408591543,Ahmedabad,15.3
Tata,1.2308372911621728,1198.0,0.2566333215136202,Third Party,0.5831023826138171,Automatic,2019.0,40045.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,108.5,5.0,17.0,0.5988691236058242,SUV,0.8683204154856445,Bangalore,10.16
MG,1.9460707064268206,1451.0,0.2566333215136202,Third Party,0.5831023826138171,Automatic,2021.0,10000.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,141.0,6.0,11.67,0.5988691236058242,SUV,0.9227099304234485,Mumbai,18.9
Mahindra,1.3292636489263243,1197.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2020.0,50000.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,108.6,5.0,17.0,0.5988691236058242,SUV,1.0271992077985115,Hyderabad,8.5
Maruti,0.5414395158001966,1197.0,1.30640076596682,Zero Dep,0.1313588447382279,Manual,2019.0,50252.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,83.1,5.0,21.4,0.36411207029700055,Hatchback,0.7676996810762409,Delhi,5.89
Toyota,1.3828395027895357,2982.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2012.0,122000.0,Second Owner,0.6203282546085825,Diesel,0.5149186383392457,168.5,7.0,13.0,0.5988691236058242,SUV,1.0271992077985115,Hyderabad,15.0
Maruti,0.5414395158001966,998.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2017.0,88025.0,Second Owner,0.6203282546085825,Petrol,0.18033354506727076,67.0,5.0,23.1,0.36411207029700055,Hatchback,1.1117169408591543,Ahmedabad,3.84
Hyundai,0.6776651860522321,1495.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2012.0,90000.0,Third Owner,1.365235730644157,Petrol,0.18033354506727076,93.7,5.0,16.36,0.5780531058996504,Sedan,1.593888188315458,Chandigarh,1.8
Hyundai,0.6776651860522321,1197.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2019.0,17000.0,Second Owner,0.6203282546085825,Petrol,0.18033354506727076,81.8,5.0,18.6,0.36411207029700055,Hatchback,0.7676996810762409,Delhi,6.25
Mitsubishi,2.785491613549387,1468.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2003.0,150000.0,Second Owner,0.6203282546085825,Petrol,0.18033354506727076,85.8,5.0,13.7,0.5780531058996504,Sedan,1.281577182241788,Jaipur,0.7
Hyundai,0.6776651860522321,1197.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2018.0,50000.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,81.8,5.0,20.14,0.5780531058996504,Sedan,0.7676996810762409,Delhi,4.5
Volkswagen,1.488427805103007,1197.0,1.30640076596682,Zero Dep,0.5831023826138171,Automatic,2017.0,41050.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,103.2,5.0,18.19,0.5780531058996504,Sedan,1.0961020230412228,Pune,8.21
