id_transmissao,transmission_type,body_type,id_body_type,modelo,id_modelos,marca,id_categoria_marca,ano,max_power,max_power_group,id_max_power_group,resale_price_Lakh
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Brio S MT,2.2828162543573365,Honda,0.07353108606611604,2013.0,86.8,0-100 bhp,0.20664410886178067,1.99
0.1313588447382279,Manual,SUV,0.5988691236058242,Vitara Brezza VDi,2.622764316051687,Maruti,0.07353108606611604,2018.0,88.5,0-100 bhp,0.20664410886178067,8.21
0.1313588447382279,Manual,Sedan,0.5780531058996504,Indigo LS BSIV,3.650793039651931,Tata,0.07353108606611604,2016.0,69.0,0-100 bhp,0.20664410886178067,2.3
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Jazz 1.2 S i VTEC,2.9817862586933552,Honda,0.07353108606611604,2016.0,88.7,0-100 bhp,0.20664410886178067,4.84
0.5831023826138171,Automatic,Hatchback,0.36411207029700055,KWID 1.0 RXT AMT Opt,2.872641789268287,Renault,0.07353108606611604,2020.0,67.0,0-100 bhp,0.20664410886178067,5.82
0.1313588447382279,Manual,Hatchback,0.36411207029700055,EON Magna Plus,2.712940946400775,Hyundai,0.07353108606611604,2015.0,55.2,0-100 bhp,0.20664410886178067,2.75
0.1313588447382279,Manual,Sedan,0.5780531058996504,Rapid 1.6 TDI Elegance,3.173671784932268,Skoda,0.9036402800773355,2012.0,103.5,100-200 bhp,0.44604017224294634,4.7
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Wagon R CNG LXI Opt,3.173671784932268,Maruti,0.07353108606611604,2021.0,58.3,0-100 bhp,0.20664410886178067,5.45
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Wagon R LXI,2.696550530212606,Maruti,0.07353108606611604,2020.0,67.0,0-100 bhp,0.20664410886178067,5.01
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Jazz Basic,3.650793039651931,Honda,0.07353108606611604,2010.0,90.0,0-100 bhp,0.20664410886178067,1.9
0.5831023826138171,Automatic,SUV,0.5988691236058242,Kiger RXZ Turbo CVT DT,3.650793039651931,Renault,0.07353108606611604,2021.0,98.6,0-100 bhp,0.20664410886178067,9.6
0.1313588447382279,Manual,SUV,0.5988691236058242,Grand Vitara Zeta CNG BSVI,3.826884298707612,Maruti,0.07353108606611604,2023.0,86.6,0-100 bhp,0.20664410886178067,16.9
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Santro Magna BSIV,3.173671784932268,Hyundai,0.07353108606611604,2019.0,68.0,0-100 bhp,0.20664410886178067,4.82
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Baleno 1.2 Zeta,2.3497630439879496,Maruti,0.07353108606611604,2017.0,83.1,0-100 bhp,0.20664410886178067,5.99
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Grand i10 1.2 Kappa Sportz BSIV,2.4036384247708042,Hyundai,0.07353108606611604,2018.0,81.8,0-100 bhp,0.20664410886178067,5.75
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Celerio ZXI,2.712940946400775,Maruti,0.07353108606611604,2015.0,65.7,0-100 bhp,0.20664410886178067,4.87
0.5831023826138171,Automatic,Sedan,0.5780531058996504,Amaze V CVT Diesel,3.650793039651931,Honda,0.07353108606611604,2019.0,78.9,0-100 bhp,0.20664410886178067,8.4
0.5831023826138171,Automatic,Sedan,0.5780531058996504,New Accord 2.4 A/T,3.428944290035574,Honda,0.07353108606611604,2013.0,177.6,100-200 bhp,0.44604017224294634,6.45
0.1313588447382279,Manual,SUV,0.5988691236058242,Duster 4x4,3.826884298707612,Renault,0.07353108606611604,2014.0,108.4,100-200 bhp,0.44604017224294634,6.99
0.5831023826138171,Automatic,SUV,0.5988691236058242,Endeavour 2.2 Titanium AT 4X2 Sunroof,3.650793039651931,Ford,0.07353108606611604,2020.0,158.0,100-200 bhp,0.44604017224294634,28.75
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Swift VXI,1.8401125644413672,Maruti,0.07353108606611604,2016.0,81.8,0-100 bhp,0.20664410886178067,5.85
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Polo Diesel Comfortline 1.2L,2.8974653729933193,Volkswagen,0.07353108606611604,2012.0,73.9,0-100 bhp,0.20664410886178067,3.45
0.5831023826138171,Automatic,SUV,0.5988691236058242,Compass 2.0 Limited 4X4 Opt Diesel AT BSVI,3.3497630439879496,Jeep,0.9036402800773355,2021.0,167.6,100-200 bhp,0.44604017224294634,26.95
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Etios Cross 1.4L GD,3.3497630439879496,Toyota,0.9036402800773355,2016.0,67.0,0-100 bhp,0.20664410886178067,5.9
0.1313588447382279,Manual,SUV,0.5988691236058242,XUV300 W6 Sunroof NT BSVI,3.650793039651931,Mahindra,0.07353108606611604,2021.0,108.6,100-200 bhp,0.44604017224294634,9.1
0.1313588447382279,Manual,Hatchback,0.36411207029700055,EON D Lite Plus,2.747703052659987,Hyundai,0.07353108606611604,2012.0,55.2,0-100 bhp,0.20664410886178067,1.75
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Wagon R LXI CNG,2.2141004419878767,Maruti,0.07353108606611604,2018.0,58.1,0-100 bhp,0.20664410886178067,3.94
0.1313588447382279,Manual,Sedan,0.5780531058996504,Ameo 1.5 TDI Highline Plus,3.650793039651931,Volkswagen,0.07353108606611604,2017.0,108.6,100-200 bhp,0.44604017224294634,6.03
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Wagon R VXI BSIII,3.428944290035574,Maruti,0.07353108606611604,2010.0,67.1,0-100 bhp,0.20664410886178067,1.5
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Baleno 1.3 Delta,3.0139709420647565,Maruti,0.07353108606611604,2017.0,74.0,0-100 bhp,0.20664410886178067,5.4
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Figo Diesel LXI,3.3497630439879496,Ford,0.07353108606611604,2011.0,68.0,0-100 bhp,0.20664410886178067,1.75
